cell_label,x,y,z,brain_section_label,Drd1,Drd2,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Mc4r,Npy1r,Npy2r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3
2.81971835019541e+38,4.50095417007201,6.18423427011514,3.46210796503048,-2.02,0,2.1407251,0,6.5401754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.68890695875094e+38,4.50498028561508,6.1116539028582,3.46210796503048,-2.02,0,1.2984525,0,6.074977,1.6733183,0,0,0,0,0.79062575,0,0,0.79062575,0,0,0,0,0.79062575,0,0,0,0
9.03553782120358e+37,4.47835937145039,6.14023312470756,3.46210796503048,-2.02,0,0,0,6.32805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.95362495834607e+38,4.3164318445216,6.07637147276731,3.46210796503048,-2.02,1.2895067,0,0,6.740468,0,0,0,0.97303295,0,0,0,0,0,0,0,0,0.56704056,0,0,0.56704056,0,0
2.28481734241211e+37,4.39010400434736,6.1399957924494,3.46210796503048,-2.02,1.2984525,0.79062575,0,5.9270816,2.2169585,0,0,0,0,0.79062575,0,0,0,0,0,0,0,0,0,0,0,0
2.39231180378586e+37,4.33687396726198,6.16075082831848,3.46210796503048,-2.02,0,0.9368062,0,6.0524907,0.9368062,0.5431423,0,0,0,0.9368062,0,0,0,0,0,0,0.5431423,0,0,0,0,0
2.50941309425294e+38,4.38059868961647,6.13959758588295,3.46210796503048,-2.02,0,2.6881862,0,6.3693857,0,0,0,1.6681238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.79786391406184e+38,4.31656180542136,6.06458193154812,3.46210796503048,-2.02,0,1.4818689,0,6.6121693,0,0,0,1.1344854,0,1.1344854,0,0,0,0,0,0,0,1.1344854,0,0,0,0
2.82960198854296e+37,4.38479967642951,6.07543019060963,3.46210796503048,-2.02,0,2.053638,0,6.027068,0.47916782,0,0,1.3649969,0,0,0,0,0,0,0.47916782,0,0,0,0.47916782,0,1.7500218,0
3.02394195642802e+37,4.39887827746669,6.07435820113333,3.46210796503048,-2.02,0,1.5780594,0,6.4243817,0.9948259,0,0,0.9948259,0,0,0,0,0,0,0.9948259,0,0.5815152,0,0,0,0.5815152,0
3.03500244976903e+38,4.37278930197522,6.14819306823078,3.46210796503048,-2.02,0,2.2679894,0,6.591153,0,0,0,0,0,0,0,0,0,0,0,0,1.5401548,1.5401548,0,0,0,1.5401548
9.61096647628885e+37,4.33710680291046,6.02471420662881,3.46210796503048,-2.02,0,1.662965,0,6.3504972,0,0,0,0.51937413,0,0,0,0,0,0,0.51937413,0,0,0.90046436,0,0,1.4506614,0
3.98815522722003e+37,4.36151896173196,6.19346722899256,3.46210796503048,-2.02,0,1.883486,0,6.2873144,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4818689,0,0,0,0
9.95240499103861e+37,4.39610012182854,6.21100069220627,3.46210796503048,-2.02,0,2.7382767,0,6.069999,0,2.2575593,1.5315232,0,0,0,0,0,0,0,0,0,0,0,0,1.5315232,0,0
1.06425909116923e+38,4.11352029630922,6.14776607607494,3.46210796503048,-2.02,1.3430927,1.6084597,1.3430927,5.9048758,0,0.59675896,0,0.59675896,0,0,0,0,0,0,0,0,0.59675896,1.0176587,0,0,0,0
