cell_label,x,y,z,brain_section_label,Drd1,Drd2,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Mc4r,Npy1r,Npy2r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3
1.11287902535738e+38,4.89592934617447,6.08894710629337,3.51708313940824,-1.043,3.0956523,0,2.1226192,0,0,0,0,0,0.8786937,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16448777325839e+38,4.85800030799943,6.1925358960699,3.51708313940824,-1.043,2.4314535,0,3.8261008,0,0,0,0,0,0,2.7780309,0,0,0,0,0,0,1.301464,0,0,0,0,0
1.17333411141169e+38,4.92726878754848,6.19196716863146,3.51708313940824,-1.043,3.048363,0,2.4232116,0,0,0.7884959,0,0,0.7884959,0,0,0,0,0,0,0,0,0,0,1.2954559,3.169925,0
1.17557535763034e+38,4.89667795928423,6.10566789004875,3.51708313940824,-1.043,2.8923347,0,2.0746272,0,0,0,0,0,0,0.8504705,0,0,0,0,0,0,0,0,0,0,1.3819355,0
1.28465720565707e+38,4.91798853435596,6.16773881998882,3.51708313940824,-1.043,3.0905268,0,0,0,0,0,0,0,1.8098359,0,0,0,0,0,0,0,1.8098359,0,0,0,1.8098359,0
1.39634064146031e+38,4.86944116482209,6.06970749253484,3.51708313940824,-1.043,2.4870934,0,2.0666394,0,0,0.43759438,0,0,0.43759438,0.7728892,0,0,0.43759438,0,0,0,0.7728892,0,0,1.0447664,2.3929024,0.43759438
1.48548184417399e+38,4.9852644590248,6.08055098117574,3.51708313940824,-1.043,1.8545352,0,2.2999856,0,0,0,0,1.2067534,1.2067534,0,0,0,0,1.8545352,0,0,1.8545352,0,0,0,0,0
1.58089708663139e+38,4.91565555594087,6.08083765871684,3.51708313940824,-1.043,2.6424005,0,0,0,0,1.1145444,0,0,0,0,0,0,0,0,0,0,0.6623268,1.4583291,0,0.6623268,2.344383,0
1.58557847005747e+38,4.92624317190048,6.07901307142101,3.51708313940824,-1.043,2.686592,0,2.3443828,0,0,0,0,0,1.2384672,0,0,0,0,0,0,0,0,0,0,0,1.8948971,0
1.8671902580905e+38,4.87450014835901,6.12377549954425,3.51708313940824,-1.043,2.321928,0,2.9385993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.321928,1.2223924,0
1.90167018420491e+38,4.8619466225029,6.05660257205597,3.51708313940824,-1.043,1.5667003,0,3.434471,0,0,0,0,2.2999856,0,0,0,0,0,0,0,0,0,0,0,1.5667003,0,0
2.23402260476041e+35,4.85443505202701,6.13653214108986,3.51708313940824,-1.043,0,0,2.4314535,0,0,1.301464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.27100307019588e+38,4.90950949403007,6.16659185133148,3.51708313940824,-1.043,3.7341883,1.1575413,2.2302976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.31519547153873e+38,4.89182987301331,6.16502457806049,3.51708313940824,-1.043,2.8572338,0,2.0437376,0.70010644,0,0.70010644,0,1.1694435,0,0,0,0,0,0,0,0,0.70010644,1.8067359,0,0,0,0
2.31906415057014e+38,4.95301779928397,6.10939995352648,3.51708313940824,-1.043,2.682978,0,1.9845331,0,0,0.5781088,0,0,0,0.5781088,0,0,0,0,0.5781088,0,0.5781088,1.3095679,0,0.5781088,2.567767,0
2.42954625572665e+38,4.85348491355552,6.13519611367769,3.51708313940824,-1.043,3.7934778,0,1.6527526,0,0,0,0,0,0,1.6527526,0,0,0,0,0,0,0,0,0,0,0,0
2.49532270526696e+38,4.88782935472124,6.07513464142334,3.51708313940824,-1.043,1.066769,0,2.0990293,0,0,1.066769,0,0,0,0,0,0,0,1.066769,0,0,0,0,0,1.066769,2.4273238,0
2.54651279349391e+38,4.97730889997788,6.1100102068737,3.51708313940824,-1.043,0,0,2.7722607,0,0,0,0,0,1.5577412,0,0,0,0,0,1.5577412,0,0,0,0,1.5577412,3.4221826,0
2.74004525515208e+38,4.92881116216366,6.09037368369531,3.51708313940824,-1.043,2.4397645,0,3.066242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.74717818809354e+37,4.94308532054369,6.10489627571652,3.51708313940824,-1.043,2.505891,0,1.0285692,0,0,1.6229304,0,0,1.0285692,0,0,0,0,0,0,0,0,0.6040713,0,0.6040713,2.8559897,0
2.75259169985757e+38,4.8517411674526,6.12434739633933,3.51708313940824,-1.043,1.9668331,0,3.2820354,0,0,0,0,1.2954559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.77035696916119e+38,4.86752067074876,6.1453976733319,3.51708313940824,-1.043,3.0935996,0,3.7613263,0,0,0,0,0.5872838,2.1753356,1.0034806,0,0,0,0,0,0,0.5872838,1.0034806,0,0,1.8123246,0
