cell_label,x,y,z,Drd1,Drd2,Tac1,Adora2a,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Agrp,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Irs1,Irs2,Mc4r,Npy1r,Npy2r,Npy5r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3,Plxnc1,Nrp2,brain_section_label
1.01813561410183e+18,4.95269464171412,7.86692946296635,10.4,7.965,0.7866,9.12,0.8125,7.06,2.713,0.2544,2.477,1.055,1.561,0.4734,4.348,1.928,0.02432,0.351,0.325,1.044,4.453,0.3914,2.438,0.4998,2.152,4.082,3.66,3.186,7.695,7.145,0.505,4,6.543,C57BL6J-638850.55
1.01813561410183e+18,5.06047673803599,7.84564420662661,10.4,8.14,0.6006,9.33,0.555,7.17,1.643,0.2903,2.807,0.9097,0.8735,0.5703,5.363,0.9116,0.07294,0.174,0.265,0.8774,4.14,0.5024,3.326,0.892,2.947,4.09,3.125,2.754,8.484,6.977,0.927,4.41,7.45,C57BL6J-638850.55
1.01813561410183e+18,5.02899828003709,7.86820406335502,10.4,8.15,0.6934,9.27,0.64,7.223,2.402,0.1888,2.494,0.804,1.225,0.513,5.215,1.203,0.02432,0.1326,0.2335,1.126,3.691,0.27,2.584,0.8706,2.582,3.701,2.75,2.797,8.055,7.273,0.8174,3.553,7.605,C57BL6J-638850.55
1.01813561410182e+18,4.97299413457359,8.02916811953625,10.4,8,0.6074,9.08,0.7456,7.285,1.898,0.2373,2.814,1.162,1.244,0.4949,5.49,1.999,0.04865,0.42,0.265,0.994,3.955,0.5874,2.52,0.6196,2.285,4.273,2.963,3.191,7.664,5.9,0.665,4.14,7.867,C57BL6J-638850.55
1.01813561410145e+18,3.9669410635479,7.97272594831345,10.4,7.914,1.015,8.914,1.09,5.3,2.87,0.439,2.393,1.076,2.486,0.2944,2.71,2.555,0.02432,0.2334,0.1774,0.9956,4.12,0.5005,2.72,0.1323,1.929,5.05,4.34,3.547,7.473,6.754,0.3545,3.457,4.57,C57BL6J-638850.55
1.01813561410145e+18,4.01918163758508,7.90181488921965,10.4,8.19,0.2778,9.26,0.602,4.934,1.912,0.237,1.375,0.393,1.162,0.3413,2.281,0.4482,0,0.11993,0.1342,1.861,2.078,0.02255,2.605,0.1493,2.402,4.97,0.793,2.062,7.59,6.58,0.3018,2.98,3.998,C57BL6J-638850.55
1.01813561410145e+18,3.88870081760751,7.91392500684327,10.4,8.19,0.7764,9.17,0.743,5.82,3.191,0.505,2.129,1.214,2.35,0.3423,2.908,1.326,0,0.1214,0.259,1.436,3.426,0.3447,3.248,0.1036,2.537,5.1,3.32,3.006,7.754,7.215,0.3477,3.508,5.16,C57BL6J-638850.55
1.01813561410145e+18,3.88166392769024,7.91747208686359,10.4,8.12,0.726,9.125,0.879,5.586,2.459,0.399,2.377,1.157,1.859,0.3003,2.752,1.395,0.02432,0.1268,0.1715,1.13,3.402,0.3804,3.213,0.1036,2.69,5.23,3.576,3.182,7.867,6.81,0.3977,3.44,5.035,C57BL6J-638850.55
1.01813561410183e+18,5.08421714663784,7.86208621927271,10.4,7.965,0.982,9.055,1.176,7.055,2.299,0.51,3.01,1.252,1.92,0.4895,5.316,2.53,0.04865,0.2676,0.179,0.909,4.09,0.8164,3.035,0.8315,2.18,4.094,4.156,3.547,7.76,6.047,0.745,4.06,7.727,C57BL6J-638850.55
1.01813561410183e+18,5.07084748223125,7.85576201450686,10.4,8,0.7266,9.24,0.789,7.215,2.033,0.2493,2.748,1.222,1.511,0.5083,4.746,2.229,0.07294,0.2319,0.1848,0.8335,3.977,0.6294,2.688,0.619,2.31,4.24,3.787,3.047,7.945,6.117,0.6436,3.97,7.02,C57BL6J-638850.55
