cell_label,x,y,z,Drd1,Drd2,Tac1,Adora2a,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Agrp,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Irs1,Irs2,Mc4r,Npy1r,Npy2r,Npy5r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3,Plxnc1,Nrp2,brain_section_label
1018093344101960225-2,2.86357256306458,7.80778840221526,8.8,8.07,0.7466,9.02,0.95,6.88,1.493,0.512,2.172,0.7305,1.574,0.4995,5.523,1.969,0.04865,0.0784,0.07916,1.136,4.043,1.206,3.805,1.018,2.498,3.918,3.822,3.902,8.1,6.074,0.9404,4.402,8.09,C57BL6J-638850.47
1018093344102280144-4,2.06788284277319,7.19383150557097,8.8,7.973,0.778,8.77,0.879,6.805,1.717,0.612,1.927,0.9497,2.06,0.5107,5.195,2.596,0.02432,0.2573,0.0482,1.143,3.758,1.107,3.475,0.9194,2.3,3.873,4.312,4.7,7.35,5.195,0.7993,4.06,7.793,C57BL6J-638850.47
1018093344102120689-4,2.16369885250097,7.56010616352479,8.8,8.17,0.8086,9.15,0.9365,7.266,1.975,0.418,2.287,0.8115,1.414,0.288,5.043,1.793,0.02432,0.1094,0.1556,1.208,3.686,0.8096,3.59,0.6406,2.668,4.305,3.69,3.451,8.21,6.562,0.597,4.1,7.613,C57BL6J-638850.47
1018093344201970314,2.9542506462323,7.71029189351192,8.8,8.03,0.739,9.11,0.9375,6.957,1.83,0.4487,2.37,0.8784,1.399,0.5557,5.742,2.13,0.04865,0.3252,0.2401,1.17,4.23,0.9453,3.139,0.9624,2.191,3.766,3.756,3.68,7.914,6.08,0.933,4.387,8.1,C57BL6J-638850.47
1018093344102270181-5,2.05071423580835,7.2772988556131,8.8,8.05,0.691,8.836,0.818,6.84,1.48,0.5483,1.834,0.6807,1.966,0.596,5.395,2.57,0.02432,0.2067,0.06586,1.147,4.01,1.246,3.564,0.9404,2.371,4.094,4.164,4.65,7.566,5.28,0.8887,4.293,7.934,C57BL6J-638850.47
1018093344101960315-3,2.74592131066479,7.86915221221601,8.8,7.89,0.882,8.88,1.071,6.91,2.428,0.712,2.305,1.369,2.38,0.4602,5.74,2.822,0.02432,0.5024,0.0812,1.152,4.24,0.934,3.377,1.063,2.443,3.56,4.54,4.703,7.246,6.117,0.9067,4.363,8.07,C57BL6J-638850.47
1018093344102120467-4,2.28611353016013,7.71413813126005,8.8,8.25,0.6284,9.31,0.4983,6.69,2.25,0.2197,1.915,0.6094,1.032,0.3657,3.71,0.964,0.02432,0.1326,0.1975,1.359,3.074,0.356,3.414,0.305,2.785,4.69,2.73,2.896,8.33,7.406,0.5464,3.621,6.37,C57BL6J-638850.47
1018093344102120370-4,2.36771302623194,7.68407934978951,8.8,7.92,0.733,9.06,0.965,7.273,2.352,0.434,2.326,1.259,1.834,0.405,6.11,2.146,0.04865,0.4058,0.09033,1.061,3.498,0.7295,2.824,0.9097,1.953,3.379,3.746,3.488,7.445,5.953,0.7744,4.137,7.734,C57BL6J-638850.47
1018093344102120632-3,2.20366012209758,7.53858095061803,8.8,8.01,0.8555,9.11,0.901,7.14,2.21,0.434,2.385,1.126,1.533,0.3262,4.87,1.867,0.04865,0.1741,0.129,1.013,3.482,0.6978,3.193,0.635,2.39,4.13,3.74,3.537,7.824,6.242,0.6514,3.75,7.312,C57BL6J-638850.47
1018093344102120528-4,2.25351737750336,7.50799564532648,8.8,8.01,0.8823,9.03,0.988,7.11,2.402,0.424,2.31,0.9526,1.541,0.2515,4.4,2.262,0.02432,0.1018,0.133,1.033,4.05,0.815,3.176,0.4146,2.678,4.77,4.35,3.438,8.2,6.805,0.556,4.137,7.12,C57BL6J-638850.47
