cell_label,x,y,z,Drd1,Drd2,Tac1,Adora2a,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Agrp,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Irs1,Irs2,Mc4r,Npy1r,Npy2r,Npy5r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3,Plxnc1,Nrp2,brain_section_label
1.02e+18,4.57135648,7.962605756,10.4,7.44,1.406,8.64,1.352,7.086,3.64,0.467,2.557,2.451,4.008,0.3896,5.67,7.633,0,1.876,0.01573,0.3052,6.7,0.596,1.989,0.1287,1.61,4.04,6.992,5.086,6.14,3.658,1.66,4.258,5.266,C57BL6J-638850.55
1.02e+18,5.043960803,7.688239849,10.4,7.41,1.5,8.41,1.377,8.305,3.004,0.394,3.342,2.926,1.744,0.3235,8.01,4.176,0,2.502,0.08386,0.4958,5.465,0.6943,1.271,0.7554,1.15,3.555,4.91,4.2,5.883,4.496,0.5386,5.082,6.98,C57BL6J-638850.55
1.02e+18,5.071819886,7.818230813,10.4,7.676,0.805,8.94,1.016,8.05,2.844,0.2355,2.758,2.324,2.09,0.706,7.875,4.797,0,2.607,0.0742,0.5015,6.645,1.109,1.452,0.7275,1.237,3.262,5.613,4.492,5.895,5.164,1.007,5.46,7.188,C57BL6J-638850.55
1.02e+18,4.744823819,8.010195457,10.4,7.168,1.582,8.336,1.699,6.92,4.008,0.6377,2.578,2.03,4.688,0.7363,4.46,6.598,0.02264,0.985,0.06464,0.547,6.22,0.761,2.572,0.3887,2.238,4.434,6.71,5.293,5.92,5.023,2.092,4.645,6.22,C57BL6J-638850.55
1.02e+18,5.038862644,7.77610868,10.4,8.055,0.856,8.82,1.024,8.055,2.582,0.327,3.895,2.355,2.486,0.4685,5.543,3.71,0,1.39,0.1206,0.759,4.37,0.9673,2.39,0.463,1.709,4.605,5.117,4.496,7.42,4.688,0.607,4.453,7.223,C57BL6J-638850.55
1.02e+18,4.753868274,8.007520913,10.4,6.348,2.686,7.445,2.646,6.64,4.145,0.8916,3.488,2.457,5.09,0.4624,4.582,6.758,0,1.33,0.01314,0.306,6.273,0.4995,2.34,0.1353,1.669,4.79,6.965,5.71,6.086,3.57,2.295,4.633,5.8,C57BL6J-638850.55
1.02e+18,5.019619728,7.735998077,10.4,7.53,1.44,8.35,1.607,7.883,2.422,0.4583,3.223,2.88,4.9,0.171,4.25,6.65,0,1.417,0.03065,0.3816,6.246,0.574,2.219,0.1802,1.015,4.45,6.438,5.42,5.88,3.797,1.367,4.6,5.38,C57BL6J-638850.55
1.02e+18,4.941478084,7.962519562,10.4,7.91,0.9785,8.96,0.95,7.83,3.195,0.3235,3.484,2.516,2.486,0.4915,5.727,3.992,0.02432,1.472,0.1622,0.7993,4.95,0.5444,2.28,0.4712,2.094,4.305,4.44,3.69,6.758,5.066,0.6177,4.734,7.184,C57BL6J-638850.55
1.02e+18,4.818714636,7.954966822,10.4,7.145,1.72,8.14,1.822,7.645,3.13,0.651,3.63,2.445,5.08,0.7495,4.977,6.902,0.02264,1.365,0.04437,0.507,5.977,0.682,2.361,0.1895,1.868,4.82,6.664,5.43,6.426,4.004,1.72,4.605,6.82,C57BL6J-638850.55
1.02e+18,4.780261351,8.074467593,10.4,7.67,1.4375,8.48,1.296,7.848,2.852,0.6084,4.184,2.771,4.89,0.7583,4.87,6.59,0.02264,1.57,0,0.4849,6.168,0.6406,2.371,0.0995,2.193,4.863,6.5,5.37,6.34,3.48,1.5,4.504,6.227,C57BL6J-638850.55
1.02e+18,4.788624517,7.992014679,10.4,7.145,1.927,7.99,1.956,7.33,3.703,0.7466,4.094,3.07,4.92,0.678,4.08,5.953,0.02264,1.455,0.0389,0.4507,5.695,0.554,2.629,0.0895,1.689,4.99,6.793,5.297,6.184,4.08,1.923,4.348,5.867,C57BL6J-638850.55
1.02e+18,4.792113158,7.980198835,10.4,4.457,5.04,5.496,4.676,7.117,3.467,0.3389,2.71,2.553,4.29,0.1967,5.27,6.977,0,1.404,0.02576,0.1877,5.875,0.0555,1.572,0.07074,0.3179,3.893,4.992,5.766,5.586,2.473,1.607,3.848,5.145,C57BL6J-638850.55
1.02e+18,4.964980613,7.951301111,10.4,7.316,1.411,8.42,1.444,8.4,2.174,0.3872,2.83,2.371,2.744,0.2098,6.61,5.668,0,1.896,0.1151,0.579,5.26,0.4448,1.72,0.4026,0.881,3.719,5.184,4.67,6.2,3.97,0.7324,4.36,6.098,C57BL6J-638850.55
1.02e+18,4.964494172,8.055632098,10.4,8.05,0.7197,8.89,0.9536,7.95,2.734,0.5205,4.062,2.506,2.465,0.491,5.766,3.695,0,1.523,0.1185,0.881,4.39,1.043,2.316,0.583,2.03,4.51,3.98,3.906,7.438,4.254,0.6167,4.48,7.277,C57BL6J-638850.55
1.02e+18,4.916547775,7.864349066,10.4,7.867,0.953,8.92,1.19,7.72,3.172,0.448,4.168,2.492,2.629,0.507,5.64,3.81,0.02432,1.313,0.1622,0.9526,4.496,0.937,2.3,0.3643,2.248,4.637,4.63,3.574,7.31,4.55,1.064,4.49,7.242,C57BL6J-638850.55
1.02e+18,5.092572558,7.730142921,10.4,7.91,0.872,8.87,1.103,8.05,2.605,0.3179,3.854,2.268,2.383,0.5356,5.88,3.736,0,1.627,0.1469,0.8203,4.76,1.011,2.314,0.3965,1.99,4.64,4.36,3.887,7.28,4.637,0.608,4.598,7.27,C57BL6J-638850.55
1.02e+18,4.959794273,7.944154965,10.4,7.758,1.238,8.62,1.336,8.11,2.604,0.437,3.64,2.195,3.188,0.5596,5.055,4.97,0,1.44,0.074,0.769,4.7,0.983,2.777,0.368,1.73,4.88,5.355,4.555,7.37,4.73,0.9233,4.13,6.98,C57BL6J-638850.55
1.02e+18,4.483293919,8.065406397,10.4,7.125,1.968,7.97,2.033,7.65,2.803,0.5874,3.572,2.822,5.414,0.5146,4.207,6.445,0,1.296,0,0.4229,5.93,0.445,2.166,0.07074,1.448,4.684,6.81,5.47,5.69,3.31,1.641,4.445,5.7,C57BL6J-638850.55
1.02e+18,5.0465739,7.834237883,10.4,7.875,0.7183,9.01,0.8774,8.15,2.45,0.2023,3.072,2.4,2.562,0.908,7.46,4.84,0,2.572,0.2408,0.695,6.33,1.062,1.807,0.6343,1.734,3.543,5.12,4.312,6.44,4.727,0.914,5.562,7.27,C57BL6J-638850.55
1.02e+18,5.062380554,7.833526566,10.4,8.09,0.797,9.02,1.139,7.95,2.465,0.5176,3.43,2.016,2.227,0.3848,4.727,3.982,0.04865,1.114,0.1768,1.131,4.19,0.969,2.875,0.547,2.146,5.02,3.777,3.79,7.652,4.824,0.6543,4.1,6.848,C57BL6J-638850.55
1.02e+18,4.628712484,8.030185175,10.4,7.277,1.697,8.35,1.658,7.35,2.982,0.5264,3.213,2.182,4.723,0.643,4.76,6.95,0,1.111,0,0.382,6.1,0.5933,2.064,0.1582,1.601,4.34,7.03,5.348,6.004,3.57,1.742,4.355,6.04,C57BL6J-638850.55
1.02e+18,4.75752855,8.060066156,10.4,7.355,1.611,8.375,1.486,7.523,3.197,0.62,3.59,2.334,4.92,0.6284,4.92,6.816,0.02264,1.25,0,0.441,6.035,0.6963,2.438,0.1423,2.29,4.586,7.14,5.16,6.43,4.137,1.673,4.387,6.76,C57BL6J-638850.55
1.02e+18,4.652491818,7.967473171,10.4,7.152,1.782,8.08,1.804,7.645,2.81,0.5444,3.684,2.533,5.27,0.2656,3.012,6.113,0,1.062,0.1309,0.5063,5.473,0.553,2.852,0.19,1.171,4.89,6.066,5.33,6.27,4.94,1.658,4.145,6.137,C57BL6J-638850.55
1.02e+18,4.758541058,8.030302344,10.4,6.96,1.955,7.844,2.123,6.777,4.438,1.13,3.572,2.564,4.75,0.783,4.387,5.75,0.02264,0.87,0.03004,0.664,5.605,0.4177,2.627,0.1349,1.662,5.094,5.855,5.88,6.32,4.61,2.523,4.363,6.5,C57BL6J-638850.55
1.02e+18,4.974391866,7.740312038,10.4,8.01,0.5264,9.09,0.7227,8.32,2.092,0.333,3.793,3.156,2.35,0.32,6.61,3.984,0.04355,1.743,0.09235,1.011,4.44,0.9136,2.37,0.828,1.653,4.016,3.67,3.963,6.914,3.45,0.433,4.79,6.57,C57BL6J-638850.55
1.02e+18,4.629307635,7.964525424,10.4,7.637,1.346,8.44,1.259,7.707,3.172,0.938,4.004,2.922,4.17,0.4778,3.268,5.82,0,0.885,0.0389,0.9165,4.754,0.676,2.885,0.1742,2.014,4.855,5.746,5.55,6.742,4.32,1.487,3.69,6.285,C57BL6J-638850.55
1.02e+18,4.51269263,7.983757522,10.4,7.727,1.482,8.34,1.373,8.08,1.705,0.571,3.783,2.518,4.527,0.3289,4.105,6.87,0,0.9517,0.02632,0.6157,5.38,0.5054,2.287,0.07074,1.563,4.99,5.695,5.363,6.76,3.385,1.036,3.863,5.92,C57BL6J-638850.55
1.02e+18,4.876869644,7.966682432,10.4,7.875,1.184,8.91,0.8887,7.97,2.686,0.5664,4.03,2.45,3.771,0.576,5.164,4.977,0,1.581,0,0.5825,5.746,0.8228,2.537,0.1985,2.076,4.965,6.375,5.223,6.473,4.293,1.115,4.473,6.406,C57BL6J-638850.55
1.02e+18,4.69095214,8.028145514,10.4,7.883,0.9478,8.86,0.9023,7.773,3.012,0.848,3.879,2.576,4.94,0.61,3.732,5.96,0,1.016,0.07477,0.8047,5.36,0.885,3.145,0.1908,2.31,5.29,6.316,5.375,6.824,4.586,1.8,4.08,6.66,C57BL6J-638850.55
1.02e+18,5.07783457,7.784077002,10.4,7.895,0.8413,8.94,0.9233,7.926,2.723,0.2886,3.645,2.373,3.459,0.52,5.848,5.445,0,1.623,0.07965,0.5522,5.688,1.085,2.543,0.2932,1.69,4.76,5.56,4.652,7.09,4.574,1.221,4.875,7.043,C57BL6J-638850.55
1.02e+18,4.826309462,7.942679571,10.4,7.74,1.481,8.35,1.3955,8.125,2.057,0.571,3.777,2.836,5.3,0.5454,3.482,6.605,0,1.317,0.02707,0.5337,5.625,0.4968,2.38,0.132,1.526,4.633,5.797,5.457,6.152,3.426,1.165,3.805,5.734,C57BL6J-638850.55
1.02e+18,4.469858714,8.030549864,10.4,7.77,1.096,8.71,1.057,7.527,3.357,0.9277,3.285,2.025,5.11,0.9297,2.951,6.043,0,0.7466,0.05582,0.7144,5.3,0.8267,3.332,0.3215,2.18,4.727,6.273,5.324,6.773,5.574,2.025,4.137,6.926,C57BL6J-638850.55
1.02e+18,4.45207264,8.047581745,10.4,7.46,1.527,8.42,1.507,7.598,2.785,0.5225,3.87,2.682,5.227,0.5073,4.395,7.5,0,1.351,0.02576,0.336,5.98,0.6167,2.62,0.02357,1.692,4.836,6.86,5.094,6.62,3.775,1.561,4.453,6.33,C57BL6J-638850.55
1.02e+18,4.70883621,8.012096352,10.4,7.68,1.359,8.625,1.221,7.832,2.697,0.5435,3.832,2.875,5.4,0.7827,3.941,6.56,0.02264,1.289,0,0.4902,6.08,0.6924,2.756,0.1135,2.176,5.04,6.793,5.188,6.42,4.293,1.568,4.438,6.348,C57BL6J-638850.55
