cell_label,x,y,z,Drd1,Drd2,Tac1,Adora2a,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Agrp,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Irs1,Irs2,Mc4r,Npy1r,Npy2r,Npy5r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3,Plxnc1,Nrp2,brain_section_label
1018093344102280171-5,2.04802569203225,7.05073539253627,8.8,6.746,0.2024,4.047,0.4902,5.51,7.125,0.8257,4.4,8.03,2.385,0.917,0.993,0.2458,0.01762,0.8726,0.09375,1.571,3.064,0.658,1.1045,0.1339,0.763,1.344,2.99,5.27,1.262,6.305,2.2,4.71,7.516,C57BL6J-638850.47
1018093344102280147-4,2.06679556751389,7.0443236016317,8.8,4.504,0.219,4.504,0.466,5.66,7.496,0.564,4.64,7.89,3.107,0.747,0.9434,0.259,0.02579,1.881,0.1099,1.613,2.932,0.4363,0.562,0.0726,0.7515,1.34,2.227,6.008,1.35,6.508,4.98,5.035,7.992,C57BL6J-638850.47
1018093344102110188-3,2.39214965911093,7.75907593495029,8.8,8.01,0.3225,6.086,0.438,6.625,9,2.006,5.21,7.633,4.008,0.801,1.632,0.4236,0.001405,0.7886,0.07544,1.762,3.236,1.399,0.8574,0.11,1.152,2.43,5.24,4.98,1.659,6.49,0.5376,5.055,8.43,C57BL6J-638850.47
1018093344102110193-3,2.38265393797247,7.78433913338113,8.8,8.086,0.4062,6.105,0.4312,6.434,9.1,2.352,5.395,7.543,4.266,0.9834,1.514,0.388,0.00277,0.6855,0.05826,1.776,3.646,1.347,0.76,0.1287,1.199,2.732,5.508,5.176,1.824,6.547,0.359,5.168,8.46,C57BL6J-638850.47
1018093344102110180-3,2.40371894691731,7.75327671266872,8.8,7.902,0.3003,5.3,0.514,6.39,8.89,2.146,5.242,7.938,3.945,0.819,1.25,0.4463,0.02388,0.764,0.1214,1.869,3.25,1.407,0.8145,0.1838,1.153,2.178,5.293,5.66,1.192,6.28,0.536,5.2,8.52,C57BL6J-638850.47
1018093344102270213-1,2.00644256670457,7.2509830635065,8.8,5.62,0.2698,4.047,0.3606,5.598,7.59,1.189,4.87,8.195,3.365,0.7026,0.6963,0.4717,0.05832,1.571,0.1927,1.896,2.672,0.7173,0.566,0.2532,0.663,1.111,4.098,6.67,1.05,6.094,3.39,5.168,8.23,C57BL6J-638850.47
1018093344102280159-6,2.05198692254253,7.11665119484109,8.8,6.863,0.10583,4.1,0.3125,5.527,7.367,0.7646,4.906,8.15,3.143,0.6924,0.6562,0.1771,0.03482,0.5356,0.00773,1.6045,3.13,0.4348,1.216,0.1368,0.985,1.226,2.75,6.67,1.322,6.523,1.731,4.406,8.14,C57BL6J-638850.47
1018093344101970711,2.63965846516927,7.66458886500775,8.8,7.44,0.7886,4.457,0.894,4.566,7.887,2.465,5.332,7.45,3.814,0.962,2.443,0.437,0.02107,0.7705,0.03168,1.866,4.215,0.667,0.637,0.2189,0.878,2.676,5.887,4.65,1.309,6.3,0.3784,5.445,6.82,C57BL6J-638850.47
1018093344102110195-3,2.37646149004786,7.77591602443267,8.8,8.11,0.281,7.95,0.351,7.047,9.22,1.887,5.406,6.56,4.594,1.101,2.12,0.3828,0.00277,0.6665,0.1007,1.695,3.607,1.594,1.048,0.0942,1.241,3.312,5.164,4.184,3.291,6.69,0.5225,4.926,8.53,C57BL6J-638850.47
1018093344102110090-4,2.54615176405647,7.85498906273857,8.8,8.09,0.5083,8.07,0.533,4.98,9.32,1.564,4.664,5.74,4.715,1.027,1.766,0.343,0.02339,0.799,0.1094,2.248,3.541,0.5557,1.226,0.0549,1.155,3.73,5.926,4.105,3.717,7.51,0.4023,4.445,7.54,C57BL6J-638850.47
