cell_label,x,y,z,Drd1,Drd2,Tac1,Adora2a,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Agrp,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Irs1,Irs2,Mc4r,Npy1r,Npy2r,Npy5r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3,Plxnc1,Nrp2,brain_section_label
1018093344100910416-6,3.76483698638833,8.04552229426432,8.8,6.32,0.03012,10.3,0.58,1.471,0.4976,0,2.797,0.1385,0.03232,0.56,2.205,0.3416,0,0.1652,3.844,0.8667,0.99,0,8.58,0,2.822,2.193,0.2686,6.33,9.9,4.1,3.074,1.858,9.54,C57BL6J-638850.47
1018093344100910390-5,3.75388735833584,8.07172482572041,8.8,6.3,0,10.34,0.5415,1.294,0.538,0,2.848,0.2983,0,1.708,2.484,0.2764,0,0.2202,0,0.7524,1.191,0,8.54,0,3.06,2.473,0.2676,6.277,10.016,4.016,3.285,1.856,9.586,C57BL6J-638850.47
1018093344100910351-6,3.73224760164181,8.04912381260507,8.8,6.383,0.03012,10.34,0.5674,1.229,0.588,0,3.102,0.3213,0.03232,1.786,2.377,0.2211,0,0.3027,0,0.7534,1.182,0,8.586,0,3.395,2.63,0.2141,6.42,9.984,4.02,3.445,1.91,9.59,C57BL6J-638850.47
1018093344100910457-3,3.79026126223897,8.05496931438916,8.8,6.23,0,10.35,0.4573,1.409,0.5024,0,2.361,0.3167,0.02881,1.547,2.232,0.2856,0,0.1652,0,0.697,1.316,0,8.38,0,2.87,2.229,0.321,5.85,10.04,3.762,3.105,2.021,9.54,C57BL6J-638850.47
1018093344100910354-6,3.73518582021324,8.07184792486292,8.8,6.242,0,10.414,0.608,1.3545,0.554,0,3.348,0.2673,0,1.674,2.51,0.2695,0,0.3303,0,0.8213,1.009,0,8.664,0,3.182,2.576,0.1892,5.953,10,4.152,3.662,1.842,9.586,C57BL6J-638850.47
1018093344100910367-7,3.74302906039671,8.05344958018014,8.8,6.273,0,10.336,0.612,1.172,0.5005,0,3.182,0.2131,0,1.767,2.273,0.2683,0,0.2754,0,0.8613,1.003,0,8.65,0,2.941,2.514,0.2151,6.02,10.03,4.164,3.252,1.876,9.59,C57BL6J-638850.47
1018093344100910349-7,3.73099443114222,8.0989199590692,8.8,6.25,0,10.3,0.4573,1.398,0.4907,0.02922,2.385,0.3384,0.0854,1.465,2.379,0.3145,0,0.1652,0,0.7056,1.419,0,8.19,0,2.945,2.059,0.345,5.71,10,3.824,2.73,2.125,9.52,C57BL6J-638850.47
1018093344100910410-7,3.75971145639005,8.05387029569093,8.8,6.184,0,10.35,0.3784,1.475,0.4465,0.02922,2.865,0.4226,0.0566,1.512,3.363,0.3616,0,0.2478,0,0.82,1.395,0,8.305,0.09314,3.105,1.823,0.347,5.586,9.95,3.904,2.064,2.105,9.3,C57BL6J-638850.47
1018093344100910299-8,3.69308847805285,8.09506143472913,8.8,6.277,0,10.336,0.4856,1.432,0.4937,0,2.506,0.1929,0,1.817,2.31,0.285,0,0.1927,0,0.697,1.201,0,8.45,0,2.844,2.215,0.322,6.035,9.94,3.812,2.78,1.888,9.56,C57BL6J-638850.47
1018093344100910350-7,3.73145746518339,8.05794058567841,8.8,6.305,0.03012,10.39,0.568,1.029,0.5938,0,3.285,0.3752,0.03232,1.657,2.408,0.2192,0,0.3303,0,0.7637,1.102,0,8.64,0,3.527,2.355,0.1882,6.246,9.984,4.105,3.502,1.877,9.55,C57BL6J-638850.47
